univsertiy,key_sub,ms_statition,phd_station
南京工业职业技术学院,0,0,0
江苏建筑职业技术学院,0,0,0
连云港职业技术学院,0,0,0
泰州职业技术学院,0,0,0
无锡职业技术学院,0,0,0
江苏工程职业技术学院,0,0,0
苏州工艺美术职业技术学院,0,0,0
常州信息职业技术学院,0,0,0
南通航运职业技术学院,0,0,0
无锡商业职业技术学院,0,0,0
南京交通职业技术学院,0,0,0
淮安信息职业技术学院,0,0,0
江苏农牧科技职业学院,0,0,0
常州纺织服装职业技术学院,0,0,0
苏州农业职业技术学院,0,0,0
苏州工业园区职业技术学院,0,0,0
南京科技职业学院,0,0,0
正德职业技术学院,0,0,0
无锡南洋职业技术学院,0,0,0
钟山职业技术学院,0,0,0
黑龙江职业学院,0,0,0
上海建峰职业技术学院,0,0,0
上海第二工业大学,0,0,0
上海海事职业技术学院,0,0,0
上海电子信息职业技术学院,0,0,0
上海交通职业技术学院,0,0,0
上海城市管理职业技术学院,0,0,0
上海行健职业学院,0,0,0
上海农林职业技术学院,0,0,0
民办明达职业技术学院,0,0,0
辽宁广告职业学院,0,0,0
辽宁体育运动职业技术学院,0,0,0
辽宁林业职业技术学院,0,0,0
沈阳航空职业技术学院,0,0,0
沈阳职业技术学院,0,0,0
辽源职业技术学院,0,0,0
吉林交通职业技术学院,0,0,0
长春东方职业学院,0,0,0
吉林电子信息职业技术学院,0,0,0
黑龙江农业工程职业学院,0,0,0
大庆职业学院,0,0,0
黑龙江农垦职业学院,0,0,0
哈尔滨职业技术学院,0,0,0
哈尔滨电力职业技术学院,0,0,0
哈尔滨铁道职业技术学院,0,0,0
大兴安岭职业学院,0,0,0
黑龙江农业经济职业学院,0,0,0
黑龙江艺术职业学院,0,0,0
哈尔滨信息工程学院,0,0,0
吉林工业职业技术学院,0,0,0
吉林司法警官职业学院,0,0,0
吉林工程职业学院,0,0,0
长春职业技术学院,0,0,0
黑龙江建筑职业技术学院,0,0,0
伊春职业学院,0,0,0
黑龙江司法警官职业学院,0,0,0
齐齐哈尔工程学院,0,0,0
黑龙江林业职业技术学院,0,0,0
黑龙江农业职业技术学院,0,0,0
呼和浩特职业学院,0,0,0
渤海船舶职业学院,0,0,0
盘锦职业技术学院,0,0,0
辽宁金融职业学院,0,0,0
大连职业技术学院,0,0,0
辽阳职业技术学院,0,0,0
营口职业技术学院,0,0,0
辽宁石化职业技术学院,0,0,0
辽宁经济职业技术学院,0,0,0
辽宁机电职业技术学院,0,0,0
临汾职业技术学院,0,0,0
山西职业技术学院,0,0,0
太原城市职业技术学院,0,0,0
山西煤炭职业技术学院,0,0,0
包头职业技术学院,0,0,0
内蒙古建筑职业技术学院,0,0,0
兴安职业技术学院,0,0,0
内蒙古警察职业学院,0,0,0
内蒙古体育职业学院,0,0,0
包头轻工职业技术学院,0,0,0
河北化工医药职业技术学院,0,0,0
河北外国语职业学院,0,0,0
石家庄信息工程职业学院,0,0,0
石家庄财经职业学院,0,0,0
河北美术学院,0,0,0
山西建筑职业技术学院,0,0,0
山西工程职业技术学院,0,0,0
晋城职业技术学院,0,0,0
大同煤炭职业技术学院,0,0,0
山西药科职业学院,0,0,0
山西交通职业技术学院,0,0,0
山西应用科技学院,0,0,0
长治职业技术学院,0,0,0
山西艺术职业学院,0,0,0
阳泉职业技术学院,0,0,0
山西水利职业技术学院,0,0,0
山西林业职业技术学院,0,0,0
山西财贸职业技术学院,0,0,0
山西戏剧职业学院,0,0,0
山西机电职业技术学院,0,0,0
河北政法职业学院,0,0,0
河北石油职业技术学院,0,0,0
衡水职业技术学院,0,0,0
秦皇岛职业技术学院,0,0,0
唐山职业技术学院,0,0,0
唐山工业职业技术学院,0,0,0
石家庄工程职业学院,0,0,0
河北工程技术学院,0,0,0
河北省艺术职业学院,0,0,0
河北交通职业技术学院,0,0,0
天津交通职业学院,0,0,0
河北工业职业技术学院,0,0,0
邯郸职业技术学院,0,0,0
石家庄职业技术学院,0,0,0
张家口职业技术学院,0,0,0
沧州职业技术学院,0,0,0
石家庄铁路职业技术学院,0,0,0
河北能源职业技术学院,0,0,0
保定职业技术学院,0,0,0
河北建材职业技术学院,0,0,0
天津工程职业技术学院,0,0,0
天津现代职业技术学院,0,0,0
天津轻工职业技术学院,0,0,0
天津电子信息职业技术学院,0,0,0
天津公安警官职业学院,0,0,0
天津机电职业技术学院,0,0,0
天津渤海职业技术学院,0,0,0
天津中德职业技术学院,0,0,0
天津青年职业学院,0,0,0
天津商务职业学院,0,0,0
北京科技经营管理学院,0,0,0
北京吉利学院,0,0,0
北京农业职业学院,0,0,0
北京戏曲艺术职业学院,0,0,0
北京京北职业技术学院,0,0,0
北京经贸职业学院,0,0,0
北京经济技术职业学院,0,0,0
北京北大方正软件职业技术学院,0,0,0
北京财贸职业学院,0,0,0
天津滨海职业学院,0,0,0
电子科技大学中山学院,0,0,0
汉口学院,0,0,0
武昌理工学院,0,0,0
武昌首义学院,0,0,0
四川理工学院,0,5,0
辽东学院,0,0,0
北京工业职业技术学院,0,0,0
北京信息职业技术学院,0,0,0
北京电子科技职业学院,0,0,0
重庆化工职业学院,0,0,0
重庆交通职业学院,0,0,0
重庆旅游职业学院,0,0,0
陕西工商职业学院,0,0,0
榆林职业技术学院,0,0,0
北京电影学院现代创意媒体学院,0,0,0
河北中医学院,4,17,1
营口理工学院,0,0,0
上海纽约大学,0,0,0
湖南工商职业学院,0,0,0
广州华商职业学院,0,0,0
广东南方职业学院,0,0,0
广州华夏职业学院,0,0,0
广东环境保护工程职业学院,0,0,0
广西科技职业学院,0,0,0
广西卫生职业技术学院,0,0,0
海南工商职业学院,0,0,0
重庆房地产职业学院,0,0,0
重庆电讯职业学院,0,0,0
辽宁工程职业学院,0,0,0
辽宁城市建设职业技术学院,0,0,0
铁岭卫生职业学院,0,0,0
黑龙江护理高等专科学校,0,0,0
黑龙江农垦科技职业学院,0,0,0
苏州工业园区服务外包职业学院,0,0,0
郑州信息工程职业学院,0,0,0
长垣烹饪职业技术学院,0,0,0
武汉城市职业学院,0,0,0
湖南高尔夫旅游职业学院,0,0,0
焦作工贸职业学院,0,0,0
河南化工职业学院,0,0,0
河南艺术职业学院,0,0,0
许昌陶瓷职业学院,0,0,0
辽宁理工职业学院,0,0,0
晋中师范高等专科学校,0,0,0
内蒙古工业职业学院,0,0,0
呼伦贝尔职业技术学院,0,0,0
满洲里俄语职业学院,0,0,0
辽宁冶金职业技术学院,0,0,0
廊坊燕京职业技术学院,0,0,0
阳泉师范高等专科学校,0,0,0
辽宁医药职业学院,0,0,0
吉林科技职业技术学院,0,0,0
宿迁泽达职业技术学院,0,0,0
桐城师范高等专科学校,0,0,0
安徽汽车职业技术学院,0,0,0
皖西卫生职业学院,0,0,0
滁州城市职业学院,0,0,0
青岛远洋船员职业学院,0,0,0
西南交通大学希望学院,0,0,0
中国矿业大学银川学院,0,0,0
南方科技大学,0,0,0
东莞职业技术学院,0,0,0
山东女子学院,0,0,0
浙江外国语学院,1,0,0
北京交通运输职业学院,0,0,0
北京艺术传媒职业学院,0,0,0
北京体育职业学院,0,0,0
承德护理职业学院,0,0,0
内蒙古师范大学鸿德学院,0,0,0
内蒙古大学创业学院,0,0,0
长春财经学院,0,0,0
常州大学怀德学院,0,0,0
同济大学浙江学院,0,0,0
上海财经大学浙江学院,0,0,0
河海大学文天学院,0,0,0
厦门工学院,0,0,0
武汉纺织大学外经贸学院,0,0,0
桂林理工大学博文管理学院,0,0,0
江西新能源科技职业学院,0,0,0
漯河食品职业学院,0,0,0
郑州城市职业学院,0,0,0
广西经济职业学院,0,0,0
三亚理工职业学院,0,0,0
重庆传媒职业学院,0,0,0
重庆能源职业学院,0,0,0
西安医学高等专科学校,0,0,0
北京第二外国语学院中瑞酒店管理学院,0,0,0
北京交通大学海滨学院,0,0,0
苏州信息职业技术学院,0,0,0
浙江横店影视职业学院,0,0,0
浙江汽车职业技术学院,0,0,0
安徽矿业职业技术学院,0,0,0
合肥信息技术职业学院,0,0,0
民办合肥滨湖职业技术学院,0,0,0
安徽现代信息工程职业学院,0,0,0
泉州海洋职业学院,0,0,0
泉州轻工职业学院,0,0,0
厦门安防科技职业学院,0,0,0
石家庄科技职业学院,0,0,0
石家庄理工职业学院,0,0,0
运城职业技术学院,0,0,0
大连东软信息学院,0,0,0
辽宁财贸学院,0,0,0
大连艺术学院,0,0,0
大连航运职业技术学院,0,0,0
大连装备制造职业技术学院,0,0,0
大连汽车职业技术学院,0,0,0
黑龙江财经学院,0,0,0
三峡旅游职业技术学院,0,0,0
湖南生物机电职业技术学院,0,0,0
广州番禺职业技术学院,0,0,0
广西幼儿师范高等专科学校,0,0,0
重庆航天职业技术学院,0,0,0
重庆商务职业学院,0,0,0
四川文化产业职业学院,0,0,0
四川幼儿师范高等专科学校,0,0,0
廊坊东方职业技术学院,0,0,0
石家庄人民医学高等专科学校,0,0,0
四平职业大学,0,0,0
杭州科技职业技术学院,0,0,0
黎明职业大学,0,0,0
江西冶金职业技术学院,0,0,0
江西传媒职业学院,0,0,0
郑州理工职业学院,0,0,0
山东理工职业学院,0,0,0
安阳职业技术学院,0,0,0
新乡职业技术学院,0,0,0
驻马店职业技术学院,0,0,0
天津广播影视职业学院,0,0,0
河北劳动关系职业学院,0,0,0
泊头职业学院,0,0,0
宣化科技职业学院,0,0,0
山西轻工职业技术学院,0,0,0
乌兰察布医学高等专科学校,0,0,0
鄂尔多斯职业学院,0,0,0
辽宁现代服务职业技术学院,0,0,0
西北政法大学,10,21,0
安康学院,0,0,0
宁夏师范学院,0,0,0
吉林工商学院,0,0,0
赤峰学院,0,0,0
琼州学院,0,0,0
三明学院,0,0,0
龙岩学院,0,0,0
陇东学院,0,0,0
上海电机学院,0,0,0
石家庄学院,0,0,0
邯郸学院,0,0,0
河北金融学院,0,0,0
菏泽学院,8,0,0
山东警察学院,0,0,0
济宁学院,0,0,0
长治学院,0,0,0
滁州学院,0,0,0
宿州学院,0,0,0
东华理工大学,0,0,0
丽水学院,2,0,0
湖南工学院,0,0,0
湘南学院,0,0,0
贺州学院,0,0,0
钦州学院,0,0,0
铜仁学院,0,0,0
西昌学院,0,0,0
榆林学院,0,0,0
西安医学院,1,0,0
陕西科技大学镐京学院,0,0,0
东北师范大学人文学院,0,0,0
江西制造职业技术学院,0,0,0
沈阳北软信息职业技术学院,0,0,0
湖北医药学院药护学院,0,0,0
山西医科大学晋祠学院,0,0,0
四川工业科技学院,0,0,0
青海大学昆仑学院,0,0,0
兰州财经大学长青学院,0,0,0
湖北师范学院文理学院,0,0,0
西安铁路职业技术学院,0,0,0
南方医科大学,3,98,75
上海金融学院,0,0,0
上海立信会计学院,0,0,0
三峡大学科技学院,0,0,0
安徽大学江淮学院,0,0,0
吉首大学张家界学院,0,0,0
安顺学院,0,0,0
辽宁何氏医学院,0,0,0
天津理工大学中环信息学院,0,0,0
贵州财经大学商务学院,0,0,0
西安电子科技大学长安学院,0,0,0
上海思博职业技术学院,0,0,0
陕西邮电职业技术学院,0,0,0
哈尔滨华德学院,0,0,0
济南大学泉城学院,0,0,0
凯里学院,0,0,0
新乡医学院三全学院,0,0,0
海南外国语职业学院,0,0,0
新疆医科大学厚博学院,0,0,0
陕西警官职业学院,0,0,0
江汉大学文理学院,0,0,0
河北师范大学汇华学院,0,0,0
江苏经贸职业技术学院,0,0,0
渤海石油职业学院,0,0,0
山东旅游职业学院,0,0,0
广西科技大学鹿山学院,0,0,0
郑州职业技术学院,0,0,0
山东药品食品职业学院,0,0,0
天津外国语大学滨海外事学院,0,0,0
贵州师范大学求是学院,0,0,0
天津生物工程职业技术学院,0,0,0
河北经贸大学经济管理学院,0,0,0
山西师范大学现代文理学院,0,0,0
山东医学高等专科学校,0,0,0
河南检察职业学院,0,0,0
广西中医药大学赛恩斯新医药学院,0,0,0
湖北大学知行学院,0,0,0
贵州大学明德学院,0,0,0
湖北商贸学院,0,0,0
华东交通大学理工学院,0,0,0
贵阳中医学院时珍学院,0,0,0
青岛求实职业技术学院,0,0,0
西安工业大学北方信息工程学院,0,0,0
辽宁中医药大学杏林学院,0,0,0
江西师范大学科学技术学院,0,0,0
湖南司法警官职业学院,0,0,0
商洛学院,0,0,0
天津城市职业学院,0,0,0
抚州职业技术学院,0,0,0
湖南工程学院应用技术学院,0,0,0
烟台大学文经学院,0,0,0
岳阳职业技术学院,0,0,0
