40000,2100,42700,43800,45100,46200,45600,43400,43700,45900,47000,52300,49000,2590,64000,50500
40700,3270,40300,40500,41100,43000,43700,40300,41500,43000,43900,45700,45800,2400,50600,45800
1290,2050,1660,976,1200,1790,1450,1250,1570,1790,1130,1440,1340,699,1660,1610
2540,825,2110,2030,21900,21500,3260,1540,1780,1820,1470,25800,2210,933,2600,1920
537,188,732,538,629,1090,1040,786,1070,558,579,699,643,654,1280,2180
1250,626,2810,725,2780,2090,2500,568,592,746,1080,1260,1220,1080,57500,1140
709,587,848,1230,538,1040,2940,445,1160,1040,838,913,1270,1200,1110,989
837,650,477,770,612,952,1870,753,1290,793,1130,1650,1620,1580,2100,1230
346,165,552,587,710,730,1000,270,570,540,496,470,325,298,1040,435
250,302,606,248,413,560,433,261,539,293,365,325,251,92,263,422
480,303,1220,1200,1310,1750,935,483,1210,754,687,678,1270,280,704,746
415,346,987,705,651,839,1060,489,968,570,746,908,878,417,678,1190
802,656,579,538,772,1130,749,392,1050,539,709,390,1740,281,656,834
539,781,1990,1250,1270,1890,2570,1730,2020,1520,1520,1430,991,427,1230,1580
377,269,567,958,540,828,511,827,1060,508,502,599,415,207,701,1830
169,60,350,341,209,323,241,271,580,573,332,381,310,92,404,594
1440,872,2440,1910,1660,2410,4830,1010,1420,1810,2010,1930,1340,759,2750,2230
532,409,909,845,939,1010,505,340,928,394,327,729,210,172,618,456
1010,150,478,735,331,712,689,363,600,264,793,551,211,166,697,929
882,569,866,941,898,1390,811,483,1580,812,989,820,920,502,713,1370
405,230,526,438,538,488,650,455,443,362,437,379,900,444,1080,1140
568,280,409,1130,1910,1260,1120,881,2140,1370,857,945,994,317,1430,1500
615,631,761,1160,951,1200,772,566,588,740,1310,952,964,1230,864,1140
45,212,285,80,129,90,74,34,161,119,520,185,131,28,188,148
110,45,199,274,332,263,243,112,134,89,178,286,143,80,495,271
347,201,252,203,492,578,642,292,444,586,373,426,409,106,530,504
538,423,988,665,881,588,329,164,416,238,277,259,404,185,535,728
353,116,182,355,277,242,340,172,224,320,336,218,279,270,333,278
179,70,284,351,327,394,228,127,404,269,341,285,179,175,261,411
566,19,314,171,306,132,150,154,352,299,372,255,205,279,235,249
134,42,255,258,297,290,162,160,314,97,207,232,160,46,224,657
2540,516,340,511,360,430,389,345,377,329,432,430,589,202,735,628
521,257,370,442,414,647,1870,214,444,372,476,369,434,261,721,328
214,106,226,202,369,457,548,381,520,331,332,556,200,98,358,314
467,167,392,568,242,718,731,369,771,914,227,419,823,155,626,581
334,139,280,343,180,890,400,181,290,293,286,339,195,300,409,251
291,76,330,132,785,253,300,111,236,98,183,151,216,119,130,290
89,15,170,94,108,164,90,100,172,112,183,322,195,17,218,348
151,83,266,719,251,299,255,351,522,638,181,1120,295,74,272,301
305,176,221,280,285,276,276,135,321,165,270,469,172,64,328,686
191,101,162,324,284,308,520,275,253,216,153,276,129,65,283,414
240,111,199,265,302,184,155,45,173,136,376,219,215,367,244,182
114,196,182,203,159,166,99,52,397,82,410,245,189,180,212,242
429,151,550,130,159,300,73,83,119,204,420,429,304,128,274,496
449,149,371,527,723,502,515,456,447,878,878,638,1740,131,721,331
86,235,110,137,130,212,77,67,243,511,249,106,64,53,181,141
126,16,99,279,161,229,99,52,66,88,203,231,175,12,127,165
73,10,98,87,112,92,200,16,78,15,120,20,57,9,174,303
8,1,5,4,6,11,3,2,5,4,3,261,19,2,5,4
63,166,293,188,207,392,150,148,297,126,239,275,121,134,479,437
58,20,258,245,127,350,132,84,414,352,715,167,158,90,639,460
119,20,95,138,64,152,132,63,182,140,67,105,113,13,88,72
129,16,91,131,141,172,72,15,46,71,60,110,17,7,159,92
159,79,434,299,171,318,177,163,285,125,303,203,117,70,275,280
522,20,351,762,426,225,209,149,226,198,238,423,256,69,442,438
117,352,154,285,177,177,398,249,639,272,724,369,191,19,280,143
264,79,127,160,167,208,103,49,136,249,116,126,176,74,154,97
80,112,118,119,111,142,147,275,118,100,243,211,389,117,145,192
187,18,225,419,314,423,385,332,299,265,428,342,377,178,99,298
84,15,102,661,270,720,115,68,178,71,145,86,141,20,167,173
71,96,113,100,177,176,330,214,97,87,104,100,262,19,109,97
40,13,58,77,397,145,186,39,67,18,56,40,317,13,185,133
133,35,271,100,341,304,1220,207,240,94,142,209,151,94,348,280
139,65,181,75,114,213,90,71,135,70,98,135,261,17,134,189
235,120,88,162,327,270,188,54,151,238,94,1300,580,104,263,160
89,16,73,165,212,288,122,82,270,107,390,129,157,9,71,414
112,123,358,394,493,296,140,209,167,187,365,203,179,53,364,582
140,15,79,103,178,214,263,226,201,234,325,119,161,111,250,176
1,5,2,3,2,2,2,0,2,4,1,0,5,1,2,1
95,12,74,83,86,89,139,18,112,161,142,76,39,13,139,58
20,13,18,98,192,112,216,14,92,197,171,319,102,39,186,72
139,67,154,215,325,269,276,258,275,389,211,199,121,64,227,265
64,73,149,226,294,118,100,64,109,107,200,84,192,14,118,184
180,161,126,151,329,170,1710,59,227,117,777,1490,344,217,228,431
116,106,292,193,417,290,343,336,129,183,126,205,287,139,182,392
18,8,56,19,12,45,99,40,46,20,46,73,17,10,20,53
6,3,1,1,0,4,3,14,3,1,4,2,1,2,17,2
200,132,147,124,271,250,127,79,155,310,306,273,138,100,314,312
142,10,134,190,286,276,214,37,134,130,208,379,279,20,438,162
59,71,71,71,142,305,216,53,253,98,112,113,112,28,140,207
267,125,447,297,598,614,400,368,267,338,261,377,391,468,653,403
68,13,62,333,215,479,92,117,89,129,93,103,85,8,49,148
239,101,122,184,143,274,257,68,268,160,202,743,233,87,353,207
108,17,233,59,199,87,57,12,127,18,76,83,36,11,206,20
227,131,281,496,323,338,721,310,323,274,376,2960,143,240,202,583
158,15,118,143,149,163,149,53,144,93,122,256,123,50,146,141
327,33,110,97,175,189,151,65,354,216,162,495,178,91,320,336
177,127,297,156,527,430,393,693,704,181,225,200,165,84,297,235
87,19,92,265,153,439,113,16,73,18,19,19,56,14,68,58
139,10,18,164,115,134,258,20,107,91,97,146,75,17,98,84
363,125,421,386,382,253,552,152,400,215,1120,339,502,161,365,341
51,78,44,107,110,225,201,108,152,71,637,125,108,48,125,172
96,19,108,185,151,351,122,69,152,65,119,115,77,128,127,119
299,11,198,243,168,286,1250,527,103,108,844,556,264,14,327,135
187,16,72,176,457,123,138,165,107,99,196,168,149,11,135,70
92,19,109,161,324,317,204,43,126,94,542,982,237,18,81,69
177,18,308,201,299,221,163,18,191,95,248,368,139,66,769,76
1,1,1,2,2,0,1,0,1,0,1,6,0,1,0,3
697,11,113,155,170,245,99,41,296,137,90,309,102,10,84,162
45,10,20,70,66,68,70,11,71,176,77,106,96,12,398,177
88,13,272,241,407,312,249,246,185,261,324,212,346,92,804,306
41,12,80,152,146,105,295,79,263,314,276,278,174,93,176,102
164,20,157,145,506,489,452,182,421,318,381,300,334,17,240,609
98,11,131,70,105,118,214,66,137,174,160,144,141,19,76,124
133,12,244,78,218,119,183,18,45,71,97,274,52,9,97,68
18,14,66,94,117,124,169,12,143,148,134,20,18,11,121,95
0,0,0,1,2,0,3,0,0,1,0,1,0,3,0,0
13,4,18,41,180,74,73,13,159,49,94,138,36,16,37,31
136,80,64,200,77,169,120,69,107,190,132,99,141,14,111,85
10,9,8,4,10,18,292,7,339,6,18,10,315,8,11,8
13,4,10,16,14,20,175,16,15,20,12,8,7,3,14,15
63,9,60,219,115,144,179,73,161,86,61,921,57,14,164,76
12,5,15,54,48,60,70,15,14,15,87,65,8,10,18,17
629,842,395,1350,654,674,613,3220,1120,576,3810,772,340,1050,306,302
130,13,106,76,168,229,349,147,113,88,105,160,117,59,271,2740
15,7,50,12,18,92,108,7,15,12,14,14,8,10,81,14
18,6,15,18,20,77,169,15,18,11,17,19,17,4,16,61
180,9,18,31,19,68,89,49,32,16,18,63,72,54,81,20
18,7,13,86,17,103,58,18,75,17,95,238,16,3,19,80
100,13,70,462,295,77,304,17,74,114,80,69,101,10,127,85
20,16,19,18,97,90,110,18,44,33,13,25,19,11,11,18
110,11,156,150,201,262,312,47,115,170,116,186,211,328,123,145
16,12,17,65,16,91,67,70,120,45,72,16,52,8,53,199
