37,271,253
81,244,201
35,317,283
30,229,178
9,78,78
20,284,231
21,48,44
25,251,180
4,299,237
28,304,237
15,345,228
14,133,98
19,55,40
16,177,119
20,199,114
15,147,81
15,231,172
17,282,157
10,49,29
16,166,111
27,97,31
15,35,27
14,279,185
36,38,21
12,260,155
7,204,110
20,256,133
10,38,26
12,234,117
12,208,114
13,101,57
14,198,25
10,187,56
7,174,81
6,62,44
9,184,94
3,150,70
8,161,94
4,312,192
5,204,106
4,34,20
4,151,111
0,33,16
6,43,15
22,292,145
9,90,57
12,121,73
17,127,52
18,52,49
9,252,153
6,116,18
5,63,27
40,93,25
12,226,93
6,177,95
14,210,117
3,124,38
9,105,71
6,134,6
9,35,16
4,246,118
4,104,35
4,200,100
3,24,5
2,28,9
3,31,18
41,181,57
6,169,60
8,38,13
0,125,30
8,78,41
3,32,12
7,47,7
4,269,71
3,85,53
5,45,11
7,183,55
2,176,67
33,109,41
2,96,46
0,42,12
19,29,0
24,206,11
17,52,20
1,73,31
2,170,42
5,23,12
11,42,17
2,41,24
1,127,41
2,44,11
4,116,39
2,90,27
15,139,17
3,98,75
4,79,56
1,50,19
5,151,45
27,66,25
54,185,49
14,196,59
6,33,14
11,55,12
1,209,37
3,126,49
23,125,17
5,118,37
34,61,52
2,93,24
2,49,45
23,61,44
2,39,15
3,84,55
3,48,24
2,178,35
3,76,46
20,164,52
17,154,50
2,92,19
10,110,25
2,99,59
50,43,43
0,112,37
7,29,24
2,184,86
25,155,11
3,161,62
29,66,29
2,189,57
4,44,17
1,66,9
9,83,12
6,126,58
9,208,85
33,59,28
20,160,17
26,83,30
0,90,31
4,23,15
0,73,32
3,143,37
1,23,11
1,151,51
2,152,42
1,94,26
2,48,10
2,17,28
5,136,41
11,157,30
6,100,46
14,172,12
7,61,7
0,106,14
1,124,21
1,0,0
5,177,20
1,26,8
23,64,2
10,164,3
8,52,29
0,122,24
2,99,50
1,62,23
3,23,10
18,55,13
0,0,0
1,34,12
16,56,14
1,102,30
4,18,11
28,52,6
19,125,9
1,97,42
3,80,29
3,38,25
4,8,1
0,48,12
1,89,21
6,24,19
1,133,21
14,156,8
10,154,47
6,39,0
12,44,13
12,74,26
25,52,17
0,38,0
3,18,28
11,35,0
1,23,7
0,171,3
1,17,1
0,64,16
1,52,22
10,40,16
13,104,7
0,20,2
2,132,4
0,125,0
0,31,0
0,21,0
22,151,18
1,17,2
0,77,25
27,68,31
1,21,3
2,183,28
3,26,21
1,70,41
25,108,0
0,65,15
7,94,48
2,25,20
1,96,37
4,88,18
20,49,11
4,89,19
0,32,1
1,75,19
4,56,19
11,43,9
4,28,22
0,41,7
0,107,11
21,34,1
1,92,28
0,84,0
5,20,0
0,45,0
5,53,4
3,84,0
0,19,3
0,40,2
1,72,23
6,72,20
0,18,2
2,9,0
4,10,3
1,55,24
1,43,19
1,79,0
0,8,0
8,28,1
18,71,1
0,60,2
0,63,0
7,16,0
0,73,0
18,77,8
15,55,5
0,19,0
25,46,14
0,25,0
5,42,0
1,62,29
0,137,13
11,21,0
17,34,5
1,60,8
0,69,0
0,36,0
10,120,0
9,59,0
7,37,6
8,44,0
6,77,19
1,19,3
9,35,0
0,20,0
6,70,0
7,35,4
7,100,7
24,50,1
0,49,1
1,64,45
0,50,0
9,86,13
0,35,0
3,54,2
11,12,7
10,50,1
0,112,0
0,20,1
0,4,0
0,67,0
8,36,1
0,26,15
0,56,0
0,66,0
17,92,5
0,56,3
11,44,0
3,19,0
0,17,1
12,65,0
7,133,0
24,3,0
0,0,0
13,17,0
5,80,0
0,26,0
12,45,0
7,33,1
4,62,0
3,28,0
10,21,0
1,35,0
8,30,0
0,29,3
14,33,1
2,19,2
0,70,0
1,52,30
3,31,1
3,21,0
3,52,0
31,23,14
0,66,0
0,0,0
0,45,0
8,67,0
5,28,0
1,30,0
0,54,0
0,62,0
3,22,0
0,23,0
3,43,0
4,42,2
0,20,0
7,55,0
6,45,0
0,8,2
0,72,0
0,61,0
0,30,0
3,21,0
7,25,1
0,32,0
0,0,0
0,42,15
4,28,0
0,34,0
17,49,0
0,0,0
1,28,0
13,18,16
18,13,0
0,39,2
0,12,0
0,91,0
5,23,4
16,27,0
0,21,0
3,4326,2
0,51,1
16,23,0
0,8,0
0,19,0
3,12,0
4,60,0
6,22,2
8,17,0
0,31,0
5,67,7
16,23,13
0,51,0
0,0,0
0,8,0
19,9,0
17,29,2
0,5,0
0,76,0
6,18,0
4,18,0
3,23,0
0,12,0
0,0,0
0,62,0
7,37,0
3,3,0
5,53,0
0,51,0
0,19,0
4,21,0
4,5,0
9,10,0
3,12,0
0,1,0
0,0,0
0,10,0
0,0,0
3,3,0
4,1,0
6,45,0
0,0,0
0,10,0
0,41,3
0,75,0
0,7,0
5,41,0
2,6,0
0,6,0
9,4,0
0,5,0
0,0,0
0,21,0
0,16,0
4,9,0
1,21,0
0,6,0
4,0,0
0,0,0
0,0,0
0,0,0
9,56,0
0,31,0
0,26,0
0,0,0
0,27,0
2,0,0
30,33,0
5,26,0
0,0,0
0,7,0
0,0,0
5,6,0
8,24,2
0,0,0
0,29,0
0,0,0
0,0,0
6,8,0
0,4,0
4,27,0
0,0,0
0,2,0
0,5,0
0,5,0
3,0,0
0,0,0
4,0,0
4,0,0
4,0,0
0,5,0
0,0,0
0,0,0
0,0,0
2,4,0
4,0,0
0,0,0
0,0,0
0,6,0
0,6,0
0,0,0
0,0,0
0,34,0
0,0,0
6,29,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
4,0,0
0,0,0
0,22,2
5,0,0
18,0,0
0,0,0
0,0,0
2,0,0
0,0,0
2,0,0
0,0,0
3,0,0
6,0,0
18,0,0
6,34,0
0,0,0
0,0,0
2,0,0
0,0,0
0,0,0
4,18,0
0,14,0
0,0,0
1,0,0
0,24,0
0,0,0
17,0,0
9,0,0
0,0,0
0,23,0
3,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
13,4,0
2,10,6
0,0,0
0,0,0
0,0,0
7,19,0
0,5,0
0,0,0
0,0,0
0,0,0
0,5,0
10,0,0
0,0,0
0,0,0
0,3,0
0,0,0
0,12,0
0,0,0
5,0,0
0,0,0
1,0,0
3,0,0
0,0,0
3,3,0
0,0,0
5,16,0
4,7,0
2,5,0
8,0,0
0,0,0
0,0,0
3,18,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,4,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
5,0,0
2,0,0
0,0,0
2,0,0
0,0,0
1,0,0
0,4,0
0,0,0
0,0,0
0,0,0
2,0,0
0,0,0
1,0,0
0,0,0
2,5,0
0,0,0
1,0,0
0,0,0
0,0,0
3,0,0
0,0,0
0,0,0
0,7,0
0,0,0
0,0,0
0,0,0
0,12,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
5,0,0
6,0,0
0,0,0
0,0,0
0,0,0
2,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
2,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
13,0,0
0,0,0
0,4,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
7,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3,0,0
0,0,0
11,0,0
0,0,0
0,0,0
5,3,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
5,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
8,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
5,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
1,0,0
4,17,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
